book_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,author,genre
74,-0.39521688719879106,-0.3331713777678608,0.08160862976282714,0.7026352310767704,-0.15633098947805232,-0.022419660768103183,0.08677955865896528,2.2741140567883456e-17,-5.419655609711915e-17,-3.5575383784680614e-17,Twain,picaresque
76,-0.3819762684658589,-0.6689198290568854,0.06951306777699345,-0.506971332593799,0.09889835290101447,0.030939131684075374,-0.07958684163723717,1.286812453468733e-17,-9.75781955236954e-19,7.697835424647081e-18,Twain,picaresque
98,0.3327212377357721,0.1467552083722015,0.5443432164785356,-0.10515360106162065,-0.30802418798598163,0.46025259907910154,0.15892813110211565,-4.187730891225261e-17,-8.84980023291293e-18,-2.630545520992955e-17,Dickens,historical
119,-0.4372367858864342,0.4805366699409952,-0.1381343873220805,-0.15784855256912209,0.17192043763505077,-0.10935729104038086,0.5381617977203439,1.3701604954785562e-17,-1.4921332398831755e-17,-1.463672932855431e-17,Twain,travel
730,0.44502142974946,-0.04994523478022732,-0.1060852470142638,0.18569227501068822,0.6867414800039588,0.21904214218614662,-0.061058557420231876,-5.2678673055639447e-17,1.4840017235895342e-17,2.6664597179565375e-17,Dickens,novel
786,0.38161012866445726,-0.09255737165661991,-0.7015696625385235,-0.06161649800649725,-0.39986033613528116,0.05743983223603635,0.035399405127099895,2.188733135705112e-17,1.1316360175317453e-17,4.251427768858784e-17,Dickens,novel
1400,0.41867860727782635,0.0252244053188711,0.2853812648849741,-0.03801895959652884,-0.0425882071545954,-0.7012891407799132,-0.05977790908584976,-2.7525182653975744e-17,4.1023499701420274e-17,2.8772015152334074e-17,Dickens,novel
3176,-0.3636014618764295,0.49207752962952883,-0.035056882028460724,-0.018718562259887717,-0.050756549786113964,0.06539238740303964,-0.618845584465205,4.629543276513104e-17,2.878556767949014e-17,-2.087089182034596e-17,Twain,historical
